City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Kavieng,PG,-2.57,150.8,84.61,62,84,3.98,broken clouds
243,Menongue,AO,-14.66,17.69,68.16,51,31,3.49,scattered clouds
244,Palembang,ID,-2.92,104.75,73.4,100,40,3.36,scattered clouds
245,Chicama,PE,-7.84,-79.15,63.43,79,96,4.56,overcast clouds
246,Port Macquarie,AU,-31.43,152.92,70.0,94,90,6.93,overcast clouds
247,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,75.02,96,99,0.92,light rain
248,Zhigansk,RU,66.77,123.37,15.71,94,0,14.61,clear sky
249,Touros,BR,-5.2,-35.46,77.0,94,75,10.29,broken clouds
250,Jibuti,DJ,11.5,42.5,80.6,74,1,6.76,haze
251,Mnogovershinnyy,RU,53.94,139.92,40.89,99,100,26.91,moderate rain
252,Leningradskiy,RU,69.38,178.42,23.47,91,0,4.09,clear sky
253,Shelburne,CA,44.08,-80.2,61.0,93,90,5.82,overcast clouds
254,Kruisfontein,ZA,-34.0,24.73,66.99,88,44,7.45,scattered clouds
255,Bathsheba,BB,13.22,-59.52,84.2,70,40,26.4,scattered clouds
256,Vostok,RU,46.49,135.88,26.31,100,100,12.64,snow
257,Whitehaven,GB,54.55,-3.58,48.0,86,100,5.99,overcast clouds
258,Saint-Louis,SN,16.33,-15.0,84.2,51,0,8.52,clear sky
259,Beringovskiy,RU,63.05,179.32,33.75,90,100,22.66,overcast clouds
260,Port-Cartier,CA,50.03,-66.87,35.01,100,90,16.11,overcast clouds
261,Kodiak,US,57.79,-152.41,46.4,93,90,19.46,moderate rain
262,Baruun-Urt,MN,46.68,113.28,35.92,71,24,11.63,few clouds
263,Panino,RU,51.65,40.13,55.4,76,0,8.95,clear sky
264,Saint-Pierre,RE,-21.34,55.48,69.8,68,40,3.36,scattered clouds
265,Berlevag,NO,70.86,29.09,37.65,93,100,28.97,light rain
266,Cabedelo,BR,-6.98,-34.83,77.0,88,20,8.05,few clouds
267,Slave Lake,CA,55.28,-114.77,19.4,79,90,3.36,overcast clouds
268,Lagoa,PT,39.05,-27.98,66.74,81,23,24.74,few clouds
269,Hov,NO,60.7,10.35,39.0,98,100,2.15,overcast clouds
270,Asfi,MA,32.3,-9.24,64.71,73,0,11.52,clear sky
271,Matadi,CD,-5.82,13.45,76.42,81,100,6.55,moderate rain
272,Jacareacanga,BR,-6.22,-57.75,75.45,93,100,3.02,moderate rain
273,Bubaque,GW,11.28,-15.83,83.95,73,56,6.91,broken clouds
274,Kushiro,JP,42.98,144.37,55.4,62,20,5.82,few clouds
275,Auki,SB,-8.77,160.7,86.2,68,17,6.62,light rain
276,Progreso,MX,21.28,-89.67,82.4,83,75,11.41,broken clouds
277,Maragogi,BR,-9.01,-35.22,76.37,86,0,9.44,clear sky
278,Kodinsk,RU,58.69,99.18,31.91,97,73,4.85,broken clouds
