City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Oistins,BB,84.2,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
591,Kidal,ML,81.99,clear sky,18.44,1.41,
592,Pontianak,ID,78.87,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
593,Bitung,ID,87.8,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
597,Kihei,US,87.8,scattered clouds,20.79,-156.47,Maui Sunset
598,San Juan,AR,76.14,clear sky,-31.54,-68.54,Hotel Provincial
602,Marabba,SD,82.4,few clouds,12.35,32.18,
603,Bilma,NE,76.3,clear sky,18.69,12.92,Expeditions Ténére voyages
610,Palauig,PH,83.3,overcast clouds,15.44,119.9,Myhousebythesea
613,San Pedro De Macoris,DO,82.99,few clouds,18.46,-69.3,Apartahotel Guaraguao
614,Paragominas,BR,79.18,overcast clouds,-2.97,-47.48,HOTEL RODA VIVA
622,Pak Phanang,TH,78.8,light rain,8.35,100.2,Green Park Inn Hotel
627,Yeppoon,AU,80.6,light rain,-23.13,150.73,Villa Mar Colina
636,Akyab,MM,80.87,overcast clouds,20.15,92.9,Hotel Memory
637,Cabanas,CU,78.8,scattered clouds,22.98,-82.92,Villa Luis Montesino y Anabel
638,Alyangula,AU,87.8,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
640,Ransang,PH,80.35,overcast clouds,8.96,117.58,
641,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
646,Sitangkai,PH,83.25,moderate rain,4.66,119.39,
650,Kampong Thum,KH,75.76,broken clouds,12.71,104.89,Sambor Village Hotel
653,Garowe,SO,77.02,overcast clouds,8.41,48.48,Curubo Hotel
656,Ballina,AU,75.2,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
659,Marawi,PH,82.0,scattered clouds,8.0,124.29,Derogongan Residence
661,Presidencia Roque Saenz Pena,AR,78.01,clear sky,-26.79,-60.44,Hotel Aconcagua
666,Wattegama,LK,75.2,few clouds,6.8,81.48,
671,Kudahuvadhoo,MV,82.15,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
674,Sinnar,SD,85.46,clear sky,13.57,33.57,فندق الرشيد
680,Mormugao,IN,75.2,mist,15.4,73.8,Coconut Creek Resort
686,Jawhar,SO,77.67,overcast clouds,2.78,45.5,cosoble spare parts
697,Tenenkou,ML,84.72,broken clouds,14.46,-4.92,
699,Kibala,TD,78.8,thunderstorm,9.11,18.35,
700,Jega,NG,78.64,overcast clouds,12.22,4.38,Jega Guest Inn
